,Country Name,Continent,Population (Millions),GDP per Capita (PPP),Tax Burden % of GDP,Government Expenditure (% GDP),Unemployment (%),Inflation (%),Public Debt (% of GDP),Literacy (%),Birthrate,Deathrate,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Happiness Rank,Crime Index,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
40,Spain,Europe,47.351567,38392.273,34.65,45.339666666666666,15.67,-0.323,117.083,97.9,10.06,9.72,75.2,61.826119424364244,85.4,84.2,85.0,70.0,29.0,33.32,53.88,21.25,38.58,45.69,53.96,70.04
41,Lithuania,Europe,2.7947,38824.046,30.34,36.56166666666667,8.43,1.062,46.98,99.6,8.75,10.98,87.3,59.47427637922675,82.3,79.2,70.0,70.0,34.0,33.42,45.65,15.01,31.29,36.18,46.64,58.74
42,Norway,Europe,5.379475,65800.1,39.93,51.81533333333334,4.62,1.287,41.4,100.0,11.46,9.4,91.4,68.76774114604288,76.9,85.4,75.0,60.0,8.0,33.72,100.9,34.68,69.86,97.31,105.49,83.11
43,Luxembourg,Europe,0.632275,118001.58,39.22,44.14933333333334,6.69,0.004,25.546,100.0,11.94,8.41,89.3,56.328394695825786,80.1,79.2,95.0,80.0,6.0,34.13,80.5,60.09,70.93,74.75,88.79,98.84
44,Hungary,Europe,9.749763,33029.517,35.77,47.739000000000004,4.35,3.319,81.195,99.4,9.72,13.11,77.2,61.166349319651275,78.5,79.2,80.0,70.0,51.0,34.36,40.66,11.91,27.18,35.19,32.82,51.98
45,Iraq,Asia,40.222503,10002.965,1.4,40.300000000000004,13.74,0.573,81.153,40.4,31.98,5.37,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,107.0,35.0,34.47,10.63,23.29,30.46,28.31,40.92
46,Germany,Europe,83.240525,54075.675,38.81,46.71933333333334,4.31,0.371,68.926,99.0,8.25,10.62,87.2,52.283594474101946,79.5,79.2,80.0,70.0,14.0,35.79,65.58,27.62,47.78,52.31,60.91,103.08
47,Afghanistan,Asia,38.928341,2390.024,7.47,32.61161363636366,11.73,5.607,7.785,36.0,46.6,20.34,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,146.0,36.0,20.37,2.72,12.09,14.92,12.41,23.04
48,Serbia,Europe,6.908224,19145.561,24.1,43.77133333333333,9.08,1.672,58.369,93.0,21.370134529147986,9.818468468468472,74.4,62.8998864073692,81.6,77.0,70.0,50.0,43.0,38.1,36.21,8.73,23.33,28.18,29.24,37.83
49,Bulgaria,Europe,6.927288,23817.48,20.3,36.27700000000001,5.71,1.219,23.791,98.6,9.65,14.27,72.1,64.4127612717483,81.9,79.2,60.0,60.0,85.0,38.21,38.38,9.07,24.64,34.02,32.44,45.96
50,Latvia,Europe,1.901548,31509.061,31.2,39.498333333333335,8.19,0.081,45.48,99.8,9.24,13.66,81.9,62.3968201991324,83.8,79.2,85.0,60.0,42.0,38.77,48.45,11.77,31.26,38.37,42.1,51.65
51,North Macedonia,Europe,2.08338,16712.04,17.2,32.83733333333333,18.4,1.2,51.25,275.8004784688995,12.02,8.77,74.4,54.13175892483604,78.3,77.8,65.0,60.0,89.0,39.12,31.38,6.06,19.51,26.95,21.02,35.44
52,Thailand,Asia,69.799978,18236.36,15.8,22.82466666666667,1.02,-0.847,49.637,92.6,13.87,7.04,63.4,59.61333106109731,74.2,71.6,55.0,60.0,61.0,39.35,43.21,14.69,29.84,45.15,22.59,31.56
53,Russia,Asia,144.10408,27903.302,11.0,35.297333333333334,5.73,3.378,19.345,99.6,9.95,14.65,62.5,57.252939027974854,68.0,69.0,30.0,30.0,80.0,39.99,35.26,13.09,24.87,29.86,34.56,37.41
54,Malta,Europe,0.525285,42856.402,25.5,38.88233333333333,4.09,0.787,55.43,92.8,10.22,8.1,75.5,61.77854728853108,78.5,79.2,70.0,50.0,33.0,40.39,67.84,29.72,49.97,59.59,72.42,44.18
55,Saudi Arabia,Asia,34.813867,46810.63,7.4,37.720333333333336,8.22,3.438,32.435,78.8,29.34,2.58,68.1,41.23905063628157,79.0,74.8,45.0,50.0,25.0,41.0,50.41,11.67,32.25,42.57,35.5,91.85
56,Montenegro,Europe,0.621718,19252.303,38.1,48.470333333333336,15.86,-0.238,108.846,275.8004784688995,21.370134529147986,9.818468468468472,67.1,61.710616248175995,85.6,78.8,75.0,50.0,75.0,41.18,38.95,12.87,26.72,31.76,33.22,34.19
57,Canada,America,38.005238,48720.435,33.45,44.883,9.48,0.717,117.842,97.0,10.78,7.8,78.8,68.67593524562787,78.2,83.2,80.0,80.0,72.07913669064749,41.89,70.22,34.33,53.4,70.01,67.86,87.98
58,Angola,Africa,32.866268,6931.862,9.4,21.255,7.7,22.277,127.115,42.0,45.11,24.2,37.6,53.89353575090515,61.2,70.0,30.0,40.0,72.07913669064749,42.0,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
59,Sudan,Africa,43.849269,4097.683,7.8,15.418333333333335,17.71,163.259,262.519,61.1,34.53,8.97,25.0,44.75592615110361,13.7,48.0,5.0,20.0,72.07913669064749,42.34,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
60,Philippines,Asia,109.581085,8452.403,14.0,22.968,3.36,2.635,47.071,92.6,24.89,5.41,61.5,57.97575220368016,69.4,73.8,60.0,60.0,60.0,42.46,37.06,9.59,24.18,37.84,20.61,21.47
61,Albania,Europe,2.837743,14218.106,18.3,30.514666666666667,11.7,1.603,75.96,86.5,15.11,5.22,70.7,51.06612179757225,82.0,82.6,70.0,70.0,90.0,42.53,35.5,8.47,22.83,29.32,25.82,30.19
62,New Zealand,Oceania,5.0843,42018.047,32.31,39.367333333333335,4.55,1.715,41.337,99.0,13.76,7.53,81.3,70.53527246324836,81.8,90.0,70.0,80.0,10.0,42.88,74.52,34.44,55.73,72.04,70.05,83.63
63,Bosnia and Herzegovina,Europe,3.280815,15046.922,20.1,42.36233333333333,16.85,-0.577,38.341,275.8004784688995,8.77,8.27,66.6,60.218772353733534,84.9,68.8,65.0,60.0,67.0,42.99,36.12,6.82,22.39,31.14,25.34,44.1
64,Uzbekistan,Asia,34.23205,7449.334,19.56,26.991333333333333,5.97,12.855,37.908,99.3,26.36,7.84,59.1,47.984892619431726,61.6,75.6,50.0,40.0,53.0,43.0,27.31,9.29,18.86,26.83,24.22,22.37
65,Bermuda,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,98.0,11.4,7.74,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,146.04,98.58,123.8,148.66,159.17,81.07
66,Barbados,America,0.287371,13552.686,33.1,31.220333333333333,12.79,2.882,148.968,97.4,12.71,8.67,64.7,63.374570045380395,78.6,58.4,70.0,60.0,72.07913669064749,43.03,92.37,21.99,59.38,87.81,78.18,32.08
67,Jersey ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,9.3,9.28,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,92.02,65.33,79.51,76.88,94.65,79.14
68,Guernsey ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,8.81,10.01,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,83.59,54.02,69.73,76.76,89.98,71.57
69,Hong Kong ,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,93.5,7.29,6.29,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,80.71,74.57,77.83,84.72,58.58,65.74
70,Australia,Oceania,25.687041,51680.434,28.68,40.178999999999995,6.61,0.868,63.128,100.0,12.14,7.51,84.6,64.21607804510926,83.2,90.0,80.0,90.0,12.0,43.03,77.75,36.84,58.57,77.44,72.95,104.63
71,Puerto Rico ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,94.1,12.77,7.65,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,66.53,18.4,43.97,69.6,55.6,72.78
72,Seychelles,Africa,0.098462,25413.871,32.4,43.77666666666667,8.015921787709491,1.203,98.375,58.0,16.03,6.29,61.2,61.704015909209694,82.1,81.2,55.0,30.0,72.07913669064749,43.03,65.93,32.35,50.19,61.55,77.01,19.43
73,Yemen,Asia,29.825968,1927.331,20.718022598870046,32.61161363636366,13.42,26.183,83.156,50.2,42.89,8.3,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,132.0,43.03,53.14,6.71,31.38,67.12,24.74,14.41
74,Suriname,America,0.586634,14513.354,15.5,33.36633333333334,8.65,34.913,165.766,93.0,18.02,7.27,52.7,64.22595543425653,58.4,60.6,40.0,30.0,72.07913669064749,43.03,51.78,9.71,32.06,45.92,79.61,13.44
75,Senegal,Africa,16.74393,3478.479,16.5,24.417,7.1,2.533,65.811,40.2,32.78,9.42,57.9,53.912151300930994,76.1,65.8,60.0,40.0,103.0,43.03,50.25,22.97,37.46,42.17,46.22,23.45
76,Mauritania,Africa,4.64966,5833.875,16.0,18.825999999999997,10.66,2.264,59.534,41.7,40.99,12.16,35.7,48.91647695948791,80.3,60.6,50.0,40.0,133.0,43.03,44.08,10.95,28.55,45.61,33.44,29.62
77,Myanmar,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,21.370134529147986,9.818468468468472,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,35.67,21.18,28.87,37.63,20.0,13.84
78,Kosovo,Asia,1.775378,11274.282,23.4,30.747666666666664,8.015921787709491,0.168,24.414,83.5,21.94,2.41,68.0,53.09725235712652,79.1,78.6,65.0,30.0,32.0,43.03,27.05,8.04,18.14,24.84,19.53,43.86
79,Kiribati,Oceania,0.119446,2199.787,24.86,119.13433333333334,8.015921787709491,2.482,17.258,275.8004784688995,30.65,8.26,63.2,65.10280661402291,80.7,80.0,25.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
80,Bhutan,Asia,0.771612,12059.621,15.4,30.746333333333336,3.74,4.15,120.743,42.2,33.65,12.7,62.9,57.18564974859867,72.7,40.8,20.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
81,Saint Lucia,America,0.183629,13359.365,21.1,26.662666666666667,17.13,-1.753,84.408,67.0,19.68,5.08,61.5,58.19536545374535,82.2,56.6,65.0,40.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
82,Samoa,Oceania,0.19841,5652.893,26.17,32.383,8.87,1.48,46.694,99.7,16.43,6.62,61.5,71.61640844796385,81.4,66.4,55.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
83,Saint Vincent and the Grenadines,America,0.110947,12606.055,25.4,33.219,20.27,-0.606,87.178,96.0,16.18,5.98,61.4,58.750973028920704,84.2,59.8,70.0,40.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
84,Ivory Coast,Africa,26.378275,5365.105,13.1,18.552999999999997,3.5,2.5,45.707,50.9,35.11,14.84,61.0,55.92210485873425,71.3,73.6,75.0,50.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
85,Cabo Verde,Africa,0.555988,6424.051,21.2,32.58566666666667,13.41,0.605,139.041,76.6,24.87,6.55,59.8,52.373537685329346,84.4,66.0,80.0,60.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
86,Tonga,Oceania,0.105697,6191.05,20.88,38.898,4.37,0.242,41.561,98.5,25.37,5.28,58.7,55.82417571942756,71.9,73.4,40.0,20.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
87,Timor-Leste,Asia,1.318442,3382.312,6.32,76.68766666666666,5.06,0.488,12.182,275.8004784688995,21.370134529147986,9.818468468468472,57.9,56.19728662138948,79.5,75.0,45.0,20.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
88,Tajikistan,Asia,9.537642,3675.627,9.0,30.337666666666667,7.5,8.589,48.136,99.4,32.65,8.25,56.9,43.12555767816621,67.1,69.6,25.0,30.0,83.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
89,Dominica,America,0.071991,11072.815,31.5,55.24,8.015921787709491,-0.295,97.102,94.0,15.27,6.73,55.8,58.97891384066581,84.9,55.6,70.0,40.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
90,Micronesia,Oceania,0.115021,3445.598,37.26,61.50833333333333,16.2,0.484,15.978,2000.0,2.0,24.68,52.4,81.50618708130976,84.3,74.8,35.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
91,Togo,Oceania,8.278737,2198.994,19.4,19.244,4.05,1.831,57.6,60.9,37.01,9.83,51.5,54.4551850188905,77.3,65.6,60.0,30.0,135.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
92,Gambia,Africa,2.416664,2275.495,10.8,23.001,9.64,5.931,75.827,1700.0,2.0,39.37,50.5,47.3194927403393,64.1,63.8,65.0,50.0,93.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
93,Gabon,Africa,2.225728,15970.052,11.5,18.099666666666668,20.47,1.335,72.504,63.2,36.16,12.25,49.9,53.981933697037014,81.5,56.8,60.0,40.0,106.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
94,Vanuatu,Oceania,0.30715,2585.77,17.84,36.48166666666666,1.95,2.915,44.208,53.0,22.72,7.82,49.1,40.02663844104061,74.4,61.6,65.0,40.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
95,São Tomé and Príncipe,Africa,0.219161,3829.284,12.5,23.727666666666664,13.86,9.808,81.385,79.3,40.25,6.47,49.0,41.642201648322164,65.9,65.0,60.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
96,Eswatini,Africa,1.160164,8956.868,17.2,34.705999999999996,23.4,3.872,47.075,275.8004784688995,21.370134529147986,9.818468468468472,48.9,54.80755677269668,77.9,71.8,50.0,40.0,125.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
97,Djibouti,Africa,0.988002,5096.106,21.8,23.58366666666667,11.57,2.878,42.236,67.9,39.53,19.31,48.6,50.65945070159699,69.5,43.2,60.0,50.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
