,Country Name,Continent,Population (Millions),GDP per Capita (PPP),Tax Burden % of GDP,Government Expenditure (% GDP),Unemployment (%),Inflation (%),Public Debt (% of GDP),Literacy (%),Birthrate,Deathrate,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Happiness Rank,Crime Index,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
108,Mozambique,Africa,31.255435,1276.615,27.1,31.451999999999998,3.39,3.141,122.225,47.8,35.18,21.35,36.7,47.38861683017702,78.8,70.6,35.0,50.0,101.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
109,Niger,Africa,24.206636,1258.705,11.1,21.85366666666667,0.69,2.762,44.221,17.6,50.73,20.91,35.2,53.598337178739094,74.6,62.6,55.0,40.0,104.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
110,Liberia,Africa,5.057677,1556.992,12.0,32.655,3.3,16.953,61.767,57.5,44.77,23.1,34.8,43.169295557739,61.7,60.8,55.0,20.0,97.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
111,Equatorial Guinea,Africa,1.402985,17788.365,6.3,17.344333333333335,9.15,4.798,51.079,85.7,35.59,15.06,34.4,46.49396598355639,73.0,48.8,40.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
112,Sierra Leone,Africa,7.976985,1724.897,14.4,22.41633333333333,4.6,15.696,71.947,31.4,45.76,23.03,34.4,38.18874054094852,65.1,63.6,60.0,20.0,140.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
113,Malawi,Africa,19.129955,993.313,18.3,20.492333333333335,5.99,8.638,67.264,62.7,43.13,19.33,34.0,56.41499956460205,71.1,67.4,50.0,50.0,138.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
114,Haiti,America,11.402533,2915.518,7.4,10.074666666666666,14.5,22.945,25.134,52.9,36.44,12.17,33.5,54.727648690961935,56.2,65.4,30.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
115,Guinea-Bissau,Africa,1.967998,2347.589,9.5,21.764,3.16,1.463,78.066,42.4,37.22,16.53,31.5,56.41346767035134,83.4,55.8,30.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
116,Eritrea,Africa,3.55,1820.706,30.5,32.373333333333335,7.44,4.914,184.701,58.6,34.33,9.6,30.1,51.24277617002139,61.5,69.2,0.0,20.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
117,"Congo, Republic of",Africa,5.518092,4187.539,8.5,21.584999999999997,10.27,2.386,101.682,700.0,2.0,42.57,29.5,43.33489889634129,80.5,56.4,35.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
118,"Congo, Democratic Republic of the Congo",Africa,89.561404,1106.371,7.5,11.947333333333333,4.55,11.349,15.156,700.0,2.0,43.69,28.3,53.96074192621193,63.7,68.0,30.0,20.0,99.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
119,Chad,Africa,16.425859,1611.004,13.3,15.554666666666668,2.26,3.482,43.003,47.5,45.73,16.38,28.2,54.47666594726713,74.2,52.0,60.0,40.0,130.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
120,Burundi,Africa,11.890781,759.861,12.9,28.051333333333332,0.8,7.305,69.513,51.6,42.22,13.46,27.5,41.51619632566161,70.3,51.0,50.0,30.0,102.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
121,Central African Republic,Africa,4.829764,979.403,8.6,19.886,4.33,2.304,44.932,51.0,33.91,18.65,26.5,39.54731074710646,75.3,46.2,45.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
122,"Korea, North ",Asia,25.778815,12698.0,20.718022598870046,32.61161363636366,2.81,21.670460674157297,69.2471555555555,1300.0,3.0,15.54,5.0,5.0,0.0,0.0,0.0,0.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
123,Liechtenstein,Europe,0.038137,12698.0,20.718022598870046,32.61161363636366,1.9,21.670460674157297,69.2471555555555,100.0,10.21,7.18,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
124,American Samoa ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,22.46,3.27,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
125,Andorra ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,100.0,8.71,6.25,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
126,Anguilla ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,95.0,14.17,5.34,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
127,Antigua & Barbuda ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,89.0,16.93,5.37,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
128,Aruba,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,11.03,6.68,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
129,British Virgin Islands,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.8,14.89,4.42,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
130,Cayman Islands ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,98.0,12.74,4.89,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
131,Cook Islands,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,95.0,21.0,9.818468468468472,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
132,East Timor,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,58.6,26.99,6.24,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
133,Faroe Islands,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,14.05,8.7,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
134,French Guiana ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,83.0,20.46,4.88,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
135,French Polynesia ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,98.0,16.68,4.69,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
136,Gaza Strip ,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,39.45,3.8,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
137,Greenland ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,15.93,7.84,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
138,Grenada ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,98.0,22.08,6.88,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
139,Guadeloupe ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,90.0,15.05,6.09,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
140,Guam ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,99.0,18.79,4.48,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
141,Isle of Man ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,11.05,11.19,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
142,Macao,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,94.5,8.48,4.47,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
143,Marshall Islands ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,93.7,33.05,4.78,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
144,Martinique ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.7,13.74,6.48,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
145,Mayotte ,Africa,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,40.95,7.7,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
146,Monaco ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,99.0,9.19,12.91,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
147,Montserrat ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,17.59,7.1,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
148,Nauru ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,24.76,6.7,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
149,Netherlands Antilles ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,96.7,14.78,6.45,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
150,New Caledonia ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,91.0,18.11,5.69,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
151,N. Mariana Islands ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,19.43,2.29,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
152,Palau ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,92.0,18.03,6.8,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
153,Palestine,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,21.370134529147986,9.818468468468472,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
154,Reunion ,Africa,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,88.9,18.9,5.49,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
155,Saint Helena ,Africa,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,12.13,6.53,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
156,Saint Kitts & Nevis ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,97.0,18.02,8.33,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
157,St Pierre & Miquelon ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,99.0,13.52,6.83,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
158,San Marino ,Europe,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,96.0,10.02,8.17,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
159,Swaziland ,Africa,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,81.6,27.41,29.74,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
160,Turks & Caicos Islands,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,98.0,21.84,4.21,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
161,Tuvalu ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,22.18,7.11,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
162,Virgin Islands ,America,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,13.96,6.43,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
163,Wallis and Futuna ,Oceania,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,50.0,21.370134529147986,9.818468468468472,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
164,West Bank ,Asia,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,31.67,3.92,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
165,Western Sahara ,Africa,9.9,12698.0,20.718022598870046,32.61161363636366,8.015921787709491,21.670460674157297,69.2471555555555,275.8004784688995,21.370134529147986,9.818468468468472,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
166,Tunisia,Africa,11.818618,10119.767,32.1,33.172,16.69,5.687,87.635,74.2,15.52,5.13,57.7,55.95589496114456,74.4,66.2,45.0,30.0,120.0,43.69,27.87,5.32,17.3,27.36,15.96,27.83
167,Peru,America,32.971846,11871.216,16.6,22.968666666666667,6.24,1.827,35.364,90.9,20.48,6.23,65.3,59.57562500507427,81.4,81.4,75.0,60.0,74.0,44.0,32.53,11.22,22.54,30.71,21.53,28.17
168,Belgium,Europe,11.555997,51096.132,42.92,54.752,6.01,0.428,114.99,98.0,10.38,10.27,82.8,57.404519706720336,84.3,79.2,85.0,70.0,19.0,44.58,72.61,25.79,50.67,63.32,78.63,79.72
169,Italy,Europe,59.554023,40861.285,42.45,51.43633333333333,9.31,-0.145,155.562,98.6,8.72,10.4,73.8,70.39570100469261,86.2,79.2,80.0,50.0,31.0,44.85,66.47,20.55,44.95,57.95,70.58,61.74
170,Ireland,Europe,4.994724,94391.533,22.66,25.861333333333334,5.92,-0.459,59.801,98.0,14.45,7.82,87.2,60.94500661794921,85.2,79.2,90.0,70.0,13.0,45.51,76.05,42.08,60.13,62.1,80.4,82.27
171,Greece,Europe,10.715549,28748.181,38.71,52.30733333333333,16.85,-1.262,213.101,97.5,9.68,10.24,70.3,61.12361000948266,78.6,79.2,55.0,50.0,58.0,45.85,56.22,12.68,35.81,44.73,52.19,39.73
172,Indonesia,Asia,273.523621,12221.919,9.47,17.081999999999997,4.11,2.033,36.621,87.9,20.34,6.25,66.6,59.28860665861482,80.3,78.6,50.0,60.0,87.0,45.93,35.85,9.82,23.65,38.29,17.74,21.07
173,United Kingdom,Europe,67.215293,44116.865,32.7,42.327333333333335,4.34,0.851,103.659,99.0,10.71,10.13,79.1,62.06336913619892,83.0,84.2,80.0,80.0,17.0,46.07,69.65,31.84,51.93,56.58,76.79,88.78
174,Vietnam,Asia,97.338583,10868.858,16.9,21.99,2.27,3.222,46.615,90.3,16.86,6.22,73.6,53.90125669368355,68.8,78.8,40.0,50.0,77.0,46.19,37.48,13.22,26.11,38.7,19.98,29.38
175,Moldova,Oceania,2.61782,12811.316,17.3,32.611,4.71,3.768,35.311,99.1,15.7,12.64,64.2,46.44821062826554,72.4,76.6,55.0,50.0,62.0,46.35,30.35,8.7,20.2,24.96,27.1,33.43
176,Ghana,Africa,31.072945,5692.643,14.1,23.241666666666664,4.53,9.885,78.009,74.8,30.52,9.72,60.9,55.36403120079075,70.8,63.0,70.0,60.0,111.0,47.0,36.2,19.31,28.28,37.53,30.06,16.82
177,Ukraine,Europe,44.134693,13109.593,19.2,43.02,9.48,2.74,60.747,99.7,8.82,14.39,61.1,60.68860071584,71.2,78.6,35.0,30.0,98.0,47.42,30.71,10.57,21.27,26.3,25.75,37.22
178,United States,America,329.484123,63415.985,24.47,38.943000000000005,8.31,1.248,127.113,97.0,14.14,8.26,87.5,75.82683252913613,82.3,75.2,85.0,80.0,16.0,47.81,70.13,42.07,56.98,70.37,70.07,106.34
179,Sweden,Europe,10.353442,54146.128,42.91,49.54,8.5,0.657,38.489,99.0,10.27,10.31,84.6,65.44378678633784,83.6,79.2,85.0,80.0,7.0,48.0,71.74,25.86,50.23,65.78,72.61,98.14
180,Morocco,Africa,36.910558,7619.886,27.8,31.750333333333334,10.15,0.622,76.072,51.7,21.98,5.58,64.8,46.38849499287122,80.0,68.6,65.0,70.0,100.0,48.66,33.83,8.98,22.18,30.63,24.52,34.36
181,Nepal,Asia,29.1,4060.595,22.07,27.587666666666664,4.44,6.15,41.309,45.2,30.98,9.31,60.2,51.479468496965886,70.0,57.6,10.0,30.0,84.0,49.0,28.29,3.96,16.89,26.45,20.41,22.96
182,Venezuela,America,28.435943,5178.267,16.7,26.903000000000002,9.14,2355.147,304.125,93.4,18.71,4.92,30.8,37.57544674625758,0.0,54.8,0.0,10.0,108.0,51.0,43.2,9.99,27.63,37.34,46.23,15.41
183,Cambodia,Asia,16.718971,4695.073,18.23,24.80966666666667,0.31,2.94,31.576,69.4,26.9,9.06,55.2,47.791989990528194,74.7,64.8,50.0,50.0,15.0,51.13,49.11,15.68,33.44,50.61,22.9,13.32
184,France,Europe,67.391582,46061.96,45.4,57.593333333333334,8.62,0.525,113.461,99.0,11.99,9.14,81.9,58.80043628655894,79.1,79.2,75.0,70.0,20.0,51.99,74.13,25.33,51.26,73.64,71.84,85.41
185,Algeria,Africa,43.851043,11112.187,37.2,37.827,12.83,2.415,53.067,70.0,17.14,4.61,50.0,51.47008340423021,80.1,57.4,30.0,30.0,96.0,52.03,26.87,4.59,16.43,28.82,14.48,24.63
186,Cameroon,Africa,26.545864,3646.457,14.6,18.16433333333333,3.62,2.801,43.17,79.0,33.89,13.47,60.4,46.398727963298825,79.9,55.2,30.0,50.0,72.07913669064749,53.0,39.48,6.91,24.22,40.41,26.33,15.37
187,Kazakhstan,Asia,18.75444,26564.615,15.07,21.206,6.05,6.799,27.363,98.4,16.0,9.42,64.7,62.66597227297059,69.1,75.4,50.0,50.0,40.0,53.77,28.68,9.44,19.66,25.35,27.24,32.23
188,Mongolia,Asia,3.278292,11825.249,18.71,32.57966666666667,4.33,3.717,76.574,97.8,21.59,6.95,66.5,67.48925123406052,76.0,74.4,50.0,50.0,68.0,56.01,34.74,11.22,23.72,36.14,22.8,24.34
189,Malaysia,Asia,32.365998,27402.241,11.95,23.88933333333333,4.55,-1.139,67.502,88.7,22.86,5.05,67.1,57.01797502551222,83.6,82.2,60.0,50.0,70.0,57.29,37.02,9.87,24.29,39.45,20.84,55.3
190,Fiji,Oceania,0.896444,11566.584,22.7,31.833,4.79,-2.6,73.657,93.7,22.55,5.65,58.8,65.96674537027965,74.9,55.2,55.0,50.0,72.07913669064749,57.62,43.16,17.76,31.26,48.06,37.42,35.87
191,Belarus,Europe,9.398861,20187.326,13.3,37.982,5.28,5.536,48.045,99.6,11.16,14.02,54.5,46.75630581304394,70.2,75.6,30.0,20.0,65.0,59.58,30.89,9.81,21.01,27.24,31.64,31.78
192,Syria,Asia,17.500657,12698.0,20.718022598870046,32.61161363636366,9.03,21.670460674157297,52.7,76.9,27.76,4.81,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,60.0,28.75,5.17,17.7,29.34,22.81,6.59
193,Sri Lanka,Asia,21.919,13214.802,8.12,20.46466666666667,4.84,4.557,100.078,92.3,15.51,6.52,58.3,55.66853401665525,71.6,47.0,40.0,40.0,127.0,61.0,31.29,8.23,20.48,37.67,17.27,19.27
194,Dominican Republic,America,10.847904,18608.133,13.5,18.345,8.9,3.783,69.405,84.7,23.22,5.73,68.1,52.90954438668888,73.5,69.0,70.0,40.0,69.0,61.02,41.77,9.59,26.68,38.45,34.3,21.07
195,Libya,Africa,6.871287,5893.257,20.718022598870046,32.61161363636366,19.39,22.256,11.3,82.6,26.49,3.48,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,86.0,61.78,48.35,12.89,31.73,54.03,34.1,33.25
196,Bahamas,America,0.393248,33148.146,18.7,21.732333333333333,14.41,0.039,68.649,16700.0,2.0,17.57,63.3,69.2841924249519,79.2,49.0,50.0,60.0,72.07913669064749,62.06,84.0,35.34,61.19,70.59,89.09,45.07
197,Zambia,Africa,18.383956,3341.987,16.7,29.817333333333334,12.17,16.35,117.761,80.6,41.0,19.93,44.2,41.939760480700734,66.4,68.2,55.0,50.0,137.0,63.0,33.04,9.26,21.9,31.53,22.46,40.33
198,Chile,America,19.116209,23366.265,20.66,27.01533333333333,11.51,3.044,32.542,96.2,15.23,5.81,76.2,57.97552746948497,79.4,78.0,70.0,70.0,44.0,65.0,43.9,13.51,29.66,38.87,43.26,33.27
199,Ecuador,America,17.64306,11008.713,20.1,36.653,6.23,-0.339,64.582,92.5,22.29,4.23,60.3,57.278320167123184,81.5,61.0,35.0,40.0,76.0,67.0,37.34,11.28,25.12,34.49,28.55,31.76
